user_address,first_fill,api_closed_pnl,db_net_pnl,sharpe_ratio,win_rate,total_volume,trading_days
0x3979bdf742ce46c9dcd570c70d2d6e88b87df0e9,2025-10-02,226218.21,177223.65,18.01,0.5803,147693523.89,61
0x8434b7844fd17fad52f0aceae50a834cd4896577,2025-11-04,138386.54,127921.91,15.76,0.7267,70949617.83,28
