user_address,category,volume,net_pnl,win_rate,maker_pct,trade_count,cluster_name
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,Smart Money,40440277.8461925,989916.71803,74.33514071778983,38.53230190257161,2391,Large Taker
0xfdcec78b3a783d677bad7b8d58823cea5b5d26c2,Smart Money,9080293.32622,963961.0847779129,100.0,24.932975871313673,373,Large Taker
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Smart Money,12031885.0635155,730056.638065,96.23762376237623,58.41446453407511,719,Large Taker
0x34365f472a3af2ff8167970a519931437e2c2094,Smart Money,8107811.1696855,602107.287051,100.0,12.918108419838523,433,Large Taker
0xc08b122fb1057149f55d49d3d5cea0d083b37ffb,Smart Money,298441.057707,516930.450009,100.0,2.0152091254752853,1315,Large Taker
0x1a67ea21ba0f895560590147203d08a832054055,Smart Money,22246236.859945,458387.1222529999,100.0,0.0,380,Large Taker
0x15271757b398cd1d3d7cca05c4f7b0c159afa7c2,Smart Money,2833565.94855,435750.13205,100.0,54.86146095717884,992,Large Taker
0x75d415edcb3c3782e5952470821e983f9053a209,Smart Money,5553081.223915,405304.144463,100.0,0.0,223,Large Taker
0xf83350f2426d9f4790b6aa61710f6a26ddd908e7,Smart Money,8102168.0410455,345471.584263,100.0,22.797927461139896,772,Large Taker
0x3e9df9cc3f126532d495173932ad9522c071c508,Smart Money,10500476.236395,313058.346817,100.0,99.70149253731343,335,Large Taker
0x6b78be2ba4d55d5ee434c7d47fb3bbaffafc5e9c,Smart Money,3133382.082015,280643.247569,100.0,43.86069651741293,2512,Large Taker
0x3b883b85fd41b81ef23b6041248bc6ac0b1c04a7,Smart Money,5902401.943595,274760.68216,89.95327102803739,47.264437689969604,329,Large Taker
0xe3b6e3443c8f2080704e7421bad9340f13950acb,Smart Money,233151428.81371,269397.8701989998,68.46673095467696,38.425437052680984,8523,Large Taker
0x2ef766eeede7bf60e7462e6f0d508d0cb76de2e6,Smart Money,43253226.40085,251638.7417049999,100.0,0.0,2179,Large Taker
0x572b4de5be467f6e7210f77940d462b9b8ef3ea5,Smart Money,114424.776488,235726.900923,100.0,94.70198675496688,75,Large Taker
